23Q7A 878 (0, -855998) 1
T6668 822 (3, -3898596) 785
T66J6 184 (3, -3899415) 786
T7TT7 407 (3, -3936608) 787
TT3T9 159 (3, -4006938) 788
TTT9J 189 (3, -4022174) 789
TTTJ5 122 (3, -4022434) 790
TTTJJ 693 (3, -4022512) 791
TTQTQ 35 (3, -4026750) 792
TQ6TT 541 (3, -4070664) 793
TQ8TT 803 (3, -4075058) 794
TKJTT 386 (3, -4110210) 795
TAAJA 223 (3, -4145583) 796
J2J3J 118 (3, -4166162) 797
J4544 205 (3, -4210180) 798
J55Q5 714 (3, -4240106) 799
J7774 687 (3, -4300764) 800
J777K 930 (3, -4300881) 801
J8588 142 (3, -4325152) 802
J8788 979 (3, -4329546) 803
J8988 884 (3, -4333940) 804
J8AAA 667 (3, -4346017) 805
JJAJT 754 (3, -4431141) 806
JQQ3Q 11 (3, -4453982) 807
JK222 397 (3, -4460274) 808
Q222A 126 (3, -4517552) 809
Q3666 119 (3, -4555473) 810
Q3Q3Q 707 (3, -4568226) 811
Q6J66 168 (3, -4652141) 812
Q6QQ6 852 (3, -4655352) 813
Q7K77 991 (3, -4685278) 814
Q8QQ7 45 (3, -4712487) 815
QT999 669 (3, -4762537) 816
QTT7T 335 (3, -4764409) 817
QTQQT 164 (3, -4769648) 818
QJQ2Q 777 (3, -4796545) 819
QJQQJ 918 (3, -4798222) 820
QQ2Q2 390 (3, -4804696) 821
QQQ3A 820 (3, -4825301) 822
QQQ46 408 (3, -4825366) 823
QQQ83 758 (3, -4826003) 824
QQQT8 607 (3, -4826406) 825
QQQKK 931 (3, -4826978) 826
QQQA7 27 (3, -4827069) 827
K2282 552 (3, -4889703) 828
K2K2K 150 (3, -4912999) 829
K2AAA 514 (3, -4917237) 830
K4K7K 333 (3, -4970966) 831
K5777 833 (3, -4986267) 832
K6KKJ 454 (3, -5029076) 833
K7K8K 24 (3, -5056818) 834
K8838 830 (3, -5073484) 835
K8JKK 351 (3, -5081830) 836
K8QKK 981 (3, -5084027) 837
K8K5K 120 (3, -5084872) 838
K9KK3 756 (3, -5114655) 839
KTKTK 576 (3, -5142839) 840
KJJKK 611 (3, -5167513) 841
KK4K4 675 (3, -5209139) 842
KK77K 301 (3, -5214833) 843
KK9KJ 254 (3, -5220215) 844
KKJKT 785 (3, -5224596) 845
KKQK7 810 (3, -5226754) 846
KKK37 994 (3, -5227261) 847
KKK6T 416 (3, -5227807) 848
KKKT5 441 (3, -5228418) 849
KKKAA 175 (3, -5229211) 850
A5595 262 (3, -5353478) 851
A5AKA 148 (3, -5374044) 852
A88J8 757 (3, -5446129) 853
ATTAA 290 (3, -5508230) 854
AJA6A 626 (3, -5544227) 855
AJA7A 874 (3, -5544396) 856
AQQAA 656 (3, -5569746) 857
AKA4A 198 (3, -5601011) 858
AA2A8 73 (3, -5604820) 859
AA3JA 51 (3, -5606588) 860
AA4A4 907 (3, -5609162) 861
AA7A8 358 (3, -5615805) 862
AA88A 813 (3, -5617066) 863
AAJ2A 165 (3, -5622643) 864
AAJKA 182 (3, -5624502) 865
AAA23 838 (3, -5629091) 866
AAAKQ 376 (3, -5631067) 867
22777 102 (4, -816361) 868
25255 913 (4, -890695) 869
26266 187 (4, -919438) 870
29929 619 (4, -1019863) 871
2JJ2J 726 (4, -1081405) 872
37773 602 (4, -1330407) 873
3TTT3 606 (4, -1423188) 874
42242 226 (4, -1547390) 875
55444 403 (4, -2008786) 876
55TTT 647 (4, -2023060) 877
57775 258 (4, -2073019) 878
59995 84 (4, -2134873) 879
5KK5K 535 (4, -2257333) 880
6AAA6 843 (4, -2660814) 881
73373 107 (4, -2692547) 882
77AAA 666 (4, -2832284) 883
87778 499 (4, -3186937) 884
88QQQ 828 (4, -3227380) 885
T222T 87 (4, -3774914) 886
J4J44 171 (4, -4223362) 887
J55J5 281 (4, -4239937) 888
JJ222 462 (4, -4403152) 889
JJ333 176 (4, -4405531) 890
JJ777 71 (4, -4415047) 891
JJ999 549 (4, -4419805) 892
JJAAA 855 (4, -4431700) 893
QQ555 596 (4, -4810143) 894
KK888 319 (4, -5217134) 895
A22A2 229 (4, -5262010) 896
AJJJA 697 (4, -5538481) 897
AQQAQ 779 (4, -5569720) 898
22226 781 (5, -804518) 899
22232 9 (5, -804635) 900
22A22 207 (5, -830830) 901
23333 378 (5, -835406) 902
24222 807 (5, -861588) 903
27222 305 (5, -947271) 904
2J222 354 (5, -1061515) 905
2JJJJ 765 (5, -1082926) 906
2QQQQ 194 (5, -1113866) 907
33335 400 (5, -1206725) 908
3333A 472 (5, -1206842) 909
333Q3 496 (5, -1208220) 910
33933 882 (5, -1219881) 911
36666 646 (5, -1299519) 912
37333 802 (5, -1320943) 913
39999 857 (5, -1392339) 914
3J333 681 (5, -1435187) 915
44424 228 (5, -1608594) 916
44464 517 (5, -1609270) 917
44474 240 (5, -1609439) 918
44484 212 (5, -1609608) 919
444J4 998 (5, -1610115) 920
4Q444 362 (5, -1837420) 921
55565 342 (5, -2011334) 922
555J5 592 (5, -2012179) 923
555K5 976 (5, -2012517) 924
57555 482 (5, -2068287) 925
5T555 938 (5, -2153970) 926
5AAAA 949 (5, -2289625) 927
65666 111 (5, -2384837) 928
66466 421 (5, -2409004) 929
6666T 197 (5, -2413450) 930
6666K 137 (5, -2413489) 931
6666A 480 (5, -2413502) 932
66696 66 (5, -2413905) 933
666J6 479 (5, -2414243) 934
67666 662 (5, -2441959) 935
68666 423 (5, -2470520) 936
6Q666 438 (5, -2584764) 937
73777 571 (5, -2701387) 938
77577 22 (5, -2811237) 939
77677 698 (5, -2813434) 940
77747 174 (5, -2815124) 941
777T7 769 (5, -2816138) 942
7J777 736 (5, -2929875) 943
85555 784 (5, -3125044) 944
88288 995 (5, -3204682) 945
88878 18 (5, -3217695) 946
88883 702 (5, -3217799) 947
88889 937 (5, -3217877) 948
888Q8 863 (5, -3218540) 949
888K8 654 (5, -3218709) 950
88J88 379 (5, -3224455) 951
88A88 597 (5, -3231046) 952
89999 96 (5, -3248804) 953
8JJJJ 610 (5, -3310684) 954
8QQQQ 101 (5, -3341624) 955
94999 306 (5, -3477292) 956
95555 307 (5, -3496337) 957
97777 776 (5, -3558217) 958
99959 867 (5, -3619421) 959
99T99 948 (5, -3622294) 960
99J99 69 (5, -3624491) 961
9K999 573 (5, -3734341) 962
9A999 916 (5, -3762902) 963
T4444 533 (5, -3836690) 964
T6TTT 932 (5, -3908086) 965
T8888 12 (5, -3960450) 966
T9TTT 195 (5, -3993769) 967
TTT7T 356 (5, -4021823) 968
TTTTJ 399 (5, -4022343) 969
Q2222 604 (5, -4517396) 970
Q5QQQ 125 (5, -4626869) 971
Q9999 6 (5, -4733976) 972
QTQQQ 299 (5, -4769674) 973
QJQQQ 434 (5, -4798235) 974
QQQ6Q 47 (5, -4825782) 975
QQQ9Q 350 (5, -4826289) 976
QQQQ7 808 (5, -4826731) 977
QQQQK 585 (5, -4826809) 978
QKKKK 247 (5, -4857736) 979
QAAAA 958 (5, -4888676) 980
K3333 25 (5, -4919629) 981
K4444 868 (5, -4950569) 982
K4KKK 980 (5, -4971980) 983
K8KKK 56 (5, -5086224) 984
KTTTT 366 (5, -5136209) 985
KTKKK 83 (5, -5143346) 986
KJKKK 190 (5, -5171907) 987
KK9KK 831 (5, -5220241) 988
KKK3K 896 (5, -5227339) 989
KKKK2 664 (5, -5228886) 990
KKKK7 773 (5, -5228951) 991
KKAKK 579 (5, -5231226) 992
A2AAA 219 (5, -5288530) 993
A3AAA 216 (5, -5317091) 994
AA7AA 157 (5, -5615883) 995
AAAKA 673 (5, -5631093) 996
AAAA4 488 (5, -5631132) 997
AAAA9 387 (5, -5631197) 998
AAAAJ 738 (5, -5631223) 999
JJJJJ 440 (6, -4424563) 1000
247485425
Finished 'part1' in 0.007 secs
